mstat,rev_total_mois,log_revenu,sans_revenu,age_grp,bancarise,a_assurance,logem,Stg_formel
Union libre,0.0,0.0,1,25-34,1,0,Locataire,0
Union libre,75000.0,11.225257,0,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Veuf(ve),0.0,0.0,1,35-44,1,0,Autre,0
Célibataire,60000.0,11.002116,0,25-34,0,0,Locataire,1
Célibataire,30000.0,10.308986,0,25-34,1,0,Proprietaire sans titre,0
Veuf(ve),0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,0,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,65+,1,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Célibataire,56000.0,10.933125,0,25-34,1,0,Proprietaire titre,1
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire titre,1
Union libre,125000.0,11.736077,0,45-54,1,0,Proprietaire titre,0
Célibataire,70258.023,11.159944,0,25-34,1,0,Proprietaire titre,1
Célibataire,70000.0,11.156265,0,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,64255.0,11.07063,0,45-54,1,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Union libre,0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Divorcé(e),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,200000.0,12.206078,0,25-34,1,0,Locataire,1
Marié(e),45000.0,10.71444,0,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,40000.0,10.59666,0,18-24,1,0,Locataire,0
Marié(e),315000.0,12.660331,0,65+,1,1,Locataire,1
Veuf(ve),0.0,0.0,1,55-64,1,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,0,0,Proprietaire titre,0
Célibataire,90000.0,11.407576,0,25-34,0,1,Proprietaire titre,1
Célibataire,0.0,0.0,1,0-17,0,1,Proprietaire titre,0
Célibataire,85000.0,11.350418,0,25-34,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Marié(e),84000.0,11.338584,0,45-54,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,20000.0,9.9035378,0,45-54,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Veuf(ve),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Célibataire,250000.0,12.42922,0,35-44,1,0,Proprietaire titre,1
Célibataire,250000.0,12.42922,0,25-34,1,0,Proprietaire titre,1
Célibataire,50000.0,10.819798,0,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,65+,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),210000.0,12.254868,0,35-44,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,90000.0,11.407576,0,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,35-44,1,0,Locataire,0
Veuf(ve),0.0,0.0,1,55-64,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),60000.0,11.002116,0,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Marié(e),74811.961,11.222747,0,45-54,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),189785.88,12.153657,0,55-64,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),31607.334,10.361176,0,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Marié(e),75000.0,11.225257,0,45-54,1,0,Locataire,1
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,60000.0,11.002116,0,25-34,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Marié(e),100000.0,11.512936,0,45-54,1,0,Locataire,1
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,85000.0,11.350418,0,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,112000.0,11.626263,0,18-24,1,0,Locataire,1
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,80000.0,11.289794,0,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,150000.0,11.918397,0,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,50000.0,10.819798,0,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),180000.0,12.100718,0,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Union libre,150000.0,11.918397,0,55-64,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Union libre,95333.336,11.465145,0,45-54,1,1,Autre,0
Célibataire,0.0,0.0,1,18-24,1,1,Autre,0
Célibataire,0.0,0.0,1,0-17,1,1,Autre,0
Célibataire,95333.336,11.465145,0,25-34,1,0,Locataire,0
Célibataire,156000.0,11.957618,0,25-34,1,0,Locataire,0
Union libre,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Union libre,0.0,0.0,1,35-44,1,0,Locataire,0
Veuf(ve),0.0,0.0,1,65+,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,0,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,370333.34,12.822162,0,25-34,1,0,Locataire,1
Célibataire,60666.668,11.013166,0,25-34,1,0,Locataire,0
Célibataire,80000.0,11.289794,0,35-44,1,0,Locataire,1
Veuf(ve),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Célibataire,270000.0,12.506181,0,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),165000.0,12.013707,0,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),39122.0,10.574466,0,45-54,1,0,Locataire,1
Marié(e),0.0,0.0,1,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,0,0,Locataire,0
Marié(e),89909.555,11.40657,0,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),32500.0,10.389026,0,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,65+,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Proprietaire titre,0
Marié(e),350000.0,12.765692,0,35-44,1,1,Proprietaire titre,1
Marié(e),0.0,0.0,1,25-34,1,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,1,Proprietaire titre,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),95000.0,11.461642,0,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Marié(e),30000.0,10.308986,0,45-54,1,0,Autre,1
Célibataire,0.0,0.0,1,18-24,0,0,Autre,0
Marié(e),0.0,0.0,1,35-44,1,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,81841.57,11.312552,0,18-24,0,0,Locataire,0
Marié(e),94420.5,11.455524,0,45-54,0,0,Locataire,0
Célibataire,119840.7,11.693927,0,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,0,0,Locataire,0
Veuf(ve),0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Célibataire,30000.0,10.308986,0,0-17,1,0,Proprietaire titre,0
Célibataire,40000.0,10.59666,0,0-17,1,0,Proprietaire titre,1
Célibataire,0.0,0.0,1,0-17,1,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,65+,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,86666.664,11.369836,0,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
