region,sexe,mstat,branch,sectins,csp,rev_total_mois,log_revenu,sans_revenu,age_grp,age_num,bancarise,a_assurance,logem,Stg_formel
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,55-64,63,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,25-34,30,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Autr. indust.,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,45,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,29,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,0-17,16,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,22,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,13,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,21,1,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Union libre,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,50,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,1,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Union libre,Aut. services,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,387905.0,12.868518,0,45-54,47,1,1,Locataire,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,1,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,25,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,14,0,1,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Education/Sante,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,380000.0,12.847929,0,35-44,42,1,1,Locataire,1
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,25,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Education/Sante,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,200000.0,12.206078,0,35-44,37,1,1,Locataire,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,46,1,1,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,316733.34,12.665818,0,45-54,54,1,1,Locataire,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,30,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,13,0,1,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,0.0,1,18-24,24,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,25,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,10,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,11,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,26,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,29,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Education/Sante,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,367905.0,12.815582,0,45-54,47,1,1,Autre,1
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,14,0,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,448000.0,13.01255,0,55-64,55,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,20,1,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,28,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,16,0,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,29,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,60000.0,11.002116,0,18-24,22,1,0,Autre,1
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Etat/Collectivités locales,Ouvrier ou employé qualifié,340000.0,12.736704,0,25-34,32,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur Familial contribuant pour une entreprise familial,0.0,0.0,1,0-17,16,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,2,0,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,5,0,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,19,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Etat/Collectivités locales,Ouvrier ou employé qualifié,340000.0,12.736704,0,25-34,30,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,20,1,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,1,Autre,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,280000.0,12.542548,0,45-54,51,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,7,0,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,46,1,1,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,15,1,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,28,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,15,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,1,0,1,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,5,0,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,20,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,308000.0,12.637858,0,45-54,52,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,15,0,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,142248.02,11.865335,0,45-54,48,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,10,0,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,18-24,23,1,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,6,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,0,0,1,Autre,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,230000.0,12.345839,0,25-34,34,1,1,Autre,1
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,18,1,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,21,1,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,21,1,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,4,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Autr. indust.,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,0.0,1,18-24,23,1,0,Autre,1
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,139666.67,11.847021,0,45-54,52,1,1,Autre,1
AUTONOME D'ABIDJAN,Masculin,Célibataire,Trans./Comm.,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,459666.66,13.038259,0,25-34,28,1,0,Autre,1
AUTONOME D'ABIDJAN,Masculin,Célibataire,Education/Sante,Entreprise publique/ parapublique,Stagiaire ou Apprenti non rénuméré,0.0,0.0,1,18-24,23,1,0,Autre,1
AUTONOME D'ABIDJAN,Féminin,Marié(e),Education/Sante,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,180700.0,12.104599,0,35-44,38,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,11,0,1,Autre,0
AUTONOME D'ABIDJAN,Masculin,Union libre,Restaurant/Hotel,Entreprise Privée,Stagiaire ou Apprenti rénuméré,72817.43,11.195724,0,18-24,24,1,0,Autre,1
AUTONOME D'ABIDJAN,Féminin,Union libre,Aut. services,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,0.0,1,18-24,23,1,0,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,1,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Autr. indust.,Entreprise Privée,Cadre moyen/agent de maîtrise,230000.0,12.345839,0,35-44,36,1,1,Locataire,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,17,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Cadre moyen/agent de maîtrise,368864.41,12.818187,0,35-44,41,1,1,Locataire,1
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,4,0,1,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,34,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,45-54,51,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,45-54,46,0,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,65+,75,1,1,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,BTP,Entreprise Privée,Ouvrier ou employé non qualifié,95612.523,11.468069,0,25-34,30,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,22,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,140426.36,11.852446,0,45-54,45,1,0,Locataire,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,1,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,6,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,17,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,35-44,37,1,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,14333.333,9.5704126,0,25-34,25,1,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,132942.48,11.797679,0,45-54,45,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,1,Autre,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,30000.0,10.308986,0,45-54,50,1,1,Autre,1
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,1,Autre,0
AUTONOME D'ABIDJAN,Masculin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,0.0,1,65+,82,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Trans./Comm.,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,0.0,1,18-24,24,1,1,Proprietaire titre,1
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,23,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,5,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Ouvrier ou employé non qualifié,250000.0,12.42922,0,35-44,40,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,55-64,58,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,55-64,57,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,0.0,1,65+,75,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,35-44,36,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,15,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Autr. indust.,Entreprise Privée,Ouvrier ou employé non qualifié,89115.313,11.397697,0,25-34,30,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,19,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,2,0,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,1,0,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,65+,70,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,4,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,0.0,1,65+,67,0,1,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,25,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,6,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,25-34,30,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,4,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,0.0,1,65+,75,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Union libre,Autr. indust.,Entreprise Privée,"Manœuvre, aide ménagère",64000.0,11.066654,0,25-34,31,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Union libre,Trans./Comm.,Entreprise Privée,Ouvrier ou employé non qualifié,114108.78,11.644917,0,35-44,44,1,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,15,0,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,0,Proprietaire titre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Autr. indust.,Entreprise Privée,Ouvrier ou employé non qualifié,60000.0,11.002116,0,18-24,22,0,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,45-54,53,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,25-34,33,1,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,14,0,0,Autre,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Education/Sante,Entreprise Privée,Ouvrier ou employé non qualifié,100000.0,11.512936,0,25-34,27,1,0,Autre,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,6,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Restaurant/Hotel,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,25-34,33,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Autr. indust.,Entreprise Privée,Patron/Employeur,0.0,0.0,1,45-54,45,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,17,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé non qualifié,65000.0,11.082158,0,45-54,47,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Restaurant/Hotel,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,35-44,38,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,17,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,4,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,18-24,19,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Stagiaire ou Apprenti rénuméré,75000.0,11.225257,0,18-24,21,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,15,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Marié(e),BTP,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,35-44,37,1,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,3,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,8,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,25-34,29,1,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,11,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,9,0,0,Locataire,0
AUTONOME D'ABIDJAN,Féminin,Marié(e),Autr. indust.,Entreprise Privée,Travailleur pour compte propre,0.0,0.0,1,25-34,33,0,0,Locataire,0
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0.0,1,0-17,6,0,0,Locataire,0
