region,sexe,mstat,branch,sectins,csp,rev_total_mois,age_grp,age_num,empl_formel,bancarise,a_assurance,logem
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,316733.34,45-54,54,1,1,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,30,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,13,0,0,1,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,18-24,24,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,25,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,10,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,11,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,26,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,29,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Marié(e),Education/Sante,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,367905.0,45-54,47,1,1,1,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,14,0,0,0,Autre
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,448000.0,55-64,55,1,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,20,0,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,28,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,16,0,0,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,29,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,60000.0,18-24,22,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Etat/Collectivités locales,Ouvrier ou employé qualifié,340000.0,25-34,32,1,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur Familial contribuant pour une entreprise familial,0.0,0-17,16,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,2,0,0,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,5,0,0,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,19,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Etat/Collectivités locales,Ouvrier ou employé qualifié,340000.0,25-34,30,1,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,20,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,1,Autre
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Etat/Collectivités locales,Cadre moyen/agent de maîtrise,280000.0,45-54,51,1,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,7,0,0,1,Autre
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,46,0,1,1,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,28,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,1,0,0,1,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,5,0,0,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,20,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,308000.0,45-54,52,1,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,0,1,Autre
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,142248.02,45-54,48,1,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,10,0,0,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,18-24,23,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,6,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,0,0,0,1,Autre
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,230000.0,25-34,34,1,1,1,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,18,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,21,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,21,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,4,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Autr. indust.,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,18-24,23,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Aut. services,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,139666.67,45-54,52,1,1,1,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Trans./Comm.,Entreprise publique/ parapublique,Cadre moyen/agent de maîtrise,459666.66,25-34,28,1,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Education/Sante,Entreprise publique/ parapublique,Stagiaire ou Apprenti non rénuméré,0.0,18-24,23,1,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Marié(e),Education/Sante,Entreprise publique/ parapublique,Ouvrier ou employé qualifié,180700.0,35-44,38,1,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,11,0,0,1,Autre
AUTONOME D'ABIDJAN,Masculin,Union libre,Restaurant/Hotel,Entreprise Privée,Stagiaire ou Apprenti rénuméré,72817.43,18-24,24,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Union libre,Aut. services,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,18-24,23,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,1,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Autr. indust.,Entreprise Privée,Cadre moyen/agent de maîtrise,230000.0,35-44,36,1,1,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,17,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Cadre moyen/agent de maîtrise,368864.41,35-44,41,1,1,1,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,4,0,0,1,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,34,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,45-54,51,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,45-54,46,0,0,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),Non_connu,Non_connu,Non_connu,0.0,65+,75,0,1,1,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,BTP,Entreprise Privée,Ouvrier ou employé non qualifié,95612.523,25-34,30,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,22,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,140426.36,45-54,45,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,1,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,6,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,17,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,35-44,37,0,1,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,14333.333,25-34,25,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,132942.48,45-54,45,0,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,1,Autre
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé qualifié,30000.0,45-54,50,0,1,1,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,1,Autre
AUTONOME D'ABIDJAN,Masculin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,65+,82,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Trans./Comm.,Entreprise Privée,Stagiaire ou Apprenti non rénuméré,0.0,18-24,24,0,1,1,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,18-24,23,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,5,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Ouvrier ou employé non qualifié,250000.0,35-44,40,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,55-64,58,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,55-64,57,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,65+,75,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,35-44,36,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Autr. indust.,Entreprise Privée,Ouvrier ou employé non qualifié,89115.313,25-34,30,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,19,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,2,0,0,0,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,1,0,0,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),Non_connu,Non_connu,Non_connu,0.0,65+,70,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,4,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,65+,67,0,0,1,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Non_connu,Non_connu,Non_connu,0.0,25-34,25,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,6,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,25-34,30,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,4,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,65+,75,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Union libre,Autr. indust.,Entreprise Privée,"Manœuvre, aide ménagère",64000.0,25-34,31,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,0,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Union libre,Trans./Comm.,Entreprise Privée,Ouvrier ou employé non qualifié,114108.78,35-44,44,0,1,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,0,0,Proprietaire titre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,0,Proprietaire titre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Autr. indust.,Entreprise Privée,Ouvrier ou employé non qualifié,60000.0,18-24,22,0,0,0,Autre
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,45-54,53,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,33,0,1,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,14,0,0,0,Autre
AUTONOME D'ABIDJAN,Masculin,Célibataire,Education/Sante,Entreprise Privée,Ouvrier ou employé non qualifié,100000.0,25-34,27,0,1,0,Autre
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,6,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Restaurant/Hotel,Entreprise Privée,Travailleur pour compte propre,0.0,25-34,33,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Autr. indust.,Entreprise Privée,Patron/Employeur,0.0,45-54,45,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,17,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Aut. services,Entreprise Privée,Ouvrier ou employé non qualifié,65000.0,45-54,47,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Restaurant/Hotel,Entreprise Privée,Travailleur pour compte propre,0.0,35-44,38,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,17,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,4,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,19,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Commerce,Entreprise Privée,Stagiaire ou Apprenti rénuméré,75000.0,18-24,21,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),BTP,Entreprise Privée,Travailleur pour compte propre,0.0,35-44,37,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,3,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,8,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,25-34,29,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,11,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,9,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Autr. indust.,Entreprise Privée,Travailleur pour compte propre,0.0,25-34,33,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,6,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),Autr. indust.,Entreprise Privée,Ouvrier ou employé non qualifié,70000.0,35-44,41,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,25-34,29,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Marié(e),BTP,Entreprise Privée,Ouvrier ou employé non qualifié,87966.664,45-54,50,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Marié(e),Commerce,Entreprise Privée,Travailleur pour compte propre,0.0,35-44,42,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,55-64,59,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,18,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,14,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),Non_connu,Non_connu,Non_connu,0.0,65+,68,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,12,0,0,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,10,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,20,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,15,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Veuf(ve),Elevage/syl./peche,Entreprise Privée,Travailleur pour compte propre,0.0,55-64,58,0,1,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,18-24,20,0,1,0,Locataire
AUTONOME D'ABIDJAN,Masculin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,12,0,0,0,Locataire
AUTONOME D'ABIDJAN,Féminin,Célibataire,Non_connu,Non_connu,Non_connu,0.0,0-17,2,0,0,0,Autre
