Cluster_Assigné,ethnie_top,ethnie_prop_top,educ_scol_top,educ_scol_prop_top,educ_hi_top,educ_hi_prop_top,diplome_top,diplome_prop_top,branch_top,branch_prop_top,sectins_top,sectins_prop_top,csp_top,csp_prop_top,age_grp_top,age_grp_prop_top,logem_top,logem_prop_top,resid,couvmal,telpor,internet,a_assurance,alphabete,elec_ac,elec_ur,elec_ua,tv,fer,frigo,cuisin,ordin,decod,car,volhor_mean,salaire_mean
10,BAOULE,0.38333333333333336,Aucun,0.841025641025641,Aucun,0.367948717948718,Aucun,0.6064102564102564,Non connu,0.34615384615384615,Entreprise Privée,0.6256410256410256,Non connu,0.34615384615384615,25-34,0.33205128205128204,Proprietaire sans titre,0.4256410256410256,0.9871794871794872,0.03333333333333333,0.8987179487179487,0.3076923076923077,0.03333333333333333,0.6384615384615384,0.5307692307692308,0.6333333333333333,0.2358974358974359,0.37435897435897436,0.03461538461538462,0.13205128205128205,0.03205128205128205,0.020512820512820513,0.23846153846153847,0.011538461538461539,706.4187353589743,105173.82619230771
11,Inconnue,0.18029350104821804,Aucun,1.0,Aucun,0.5555555555555556,Aucun,0.6561844863731656,Agriculture,0.31865828092243187,Entreprise Privée,0.6519916142557652,Travailleur pour compte propre,0.4947589098532495,55-64,0.5324947589098532,Proprietaire titre,0.49056603773584906,1.0,0.11320754716981132,0.9685534591194969,0.31027253668763105,0.11320754716981132,0.570230607966457,0.7987421383647799,0.8322851153039832,0.11530398322851153,0.639412997903564,0.09224318658280922,0.2578616352201258,0.06708595387840671,0.0440251572327044,0.36268343815513626,0.041928721174004195,1275.3612868763103,323979.74660377356
12,Inconnue,0.1661631419939577,Aucun,0.4108761329305136,Primaire,0.3756294058408862,Aucun,0.7049345417925479,Non connu,0.9214501510574018,Non connu,0.9214501510574018,Non connu,0.9214501510574018,0-17,0.8257804632426989,Locataire,0.6827794561933535,0.9949647532729103,0.13695871097683787,0.18831822759315206,0.14400805639476336,0.13695871097683787,0.6545820745216515,0.9305135951661632,0.9254783484390735,0.07049345417925479,0.8680765357502518,0.15508559919436052,0.5125881168177241,0.19234642497482377,0.1500503524672709,0.5125881168177241,0.09365558912386707,101.3502932326284,21758.563192346424
13,BAOULE,0.20946915351506457,Aucun,1.0,Aucun,0.6255380200860832,Aucun,0.7862266857962698,Agriculture,0.7718794835007173,Entreprise Privée,0.836441893830703,Travailleur pour compte propre,0.7948350071736011,55-64,0.5236728837876614,Proprietaire sans titre,0.593974175035868,1.0,0.047345767575322814,0.9612625538020086,0.09899569583931134,0.047345767575322814,0.4246771879483501,0.4921090387374462,0.5868005738880918,0.2582496413199426,0.3586800573888092,0.027259684361549498,0.07747489239598278,0.00860832137733142,0.0014347202295552368,0.20516499282639886,0.01291248206599713,1419.0762208034432,47751.498163558106
14,BAOULE,0.1903367496339678,Aucun,0.5710102489019033,Second. gl 1,0.29502196193265007,Aucun,0.31551976573938506,Non connu,0.4685212298682284,Entreprise Privée,0.5065885797950219,Non connu,0.4685212298682284,18-24,0.4816983894582723,Locataire,0.4172767203513909,0.9875549048316252,0.04172767203513909,0.9209370424597365,0.6273792093704246,0.04172767203513909,0.849194729136164,0.7759882869692533,0.8572474377745242,0.1054172767203514,0.6171303074670571,0.07101024890190337,0.19546120058565153,0.048316251830161056,0.057833089311859445,0.37481698389458273,0.024158125915080528,917.6866438587116,359602.1733455344
15,BAOULE,0.2050067658998647,Aucun,0.9986468200270636,Aucun,0.6840324763193505,Aucun,0.8897158322056834,Agriculture,0.5392422192151556,Entreprise Privée,0.7956698240866035,Travailleur pour compte propre,0.38497970230040596,35-44,0.37889039242219213,Proprietaire sans titre,0.479702300405954,0.9986468200270636,0.039918809201623814,0.8883626522327469,0.15087956698240865,0.039918809201623814,0.32408660351826796,0.5020297699594046,0.6001353179972937,0.2922868741542625,0.45331529093369416,0.02706359945872801,0.10757780784844384,0.023004059539918808,0.01962110960757781,0.2882273342354533,0.010148849797023005,667.0814621718539,53421.534519621106
16,MALINKE OU MANINKA,0.6078799249530957,Aucun,0.7598499061913696,Aucun,0.7223264540337712,Aucun,0.9643527204502814,Non connu,0.8649155722326454,Non connu,0.8649155722326454,Non connu,0.8649155722326454,0-17,0.9324577861163227,Proprietaire sans titre,0.7073170731707317,0.9887429643527205,0.01125703564727955,0.0450281425891182,0.013133208255159476,0.01125703564727955,0.23452157598499063,0.7279549718574109,0.7861163227016885,0.1575984990619137,0.47654784240150094,0.00375234521575985,0.07317073170731707,0.0,0.0,0.21200750469043153,0.0,26.452157598499063,3264.5403377110692
17,BAOULE,0.19291338582677164,Aucun,0.702755905511811,Second. gl 2,0.19488188976377951,Aucun,0.3051181102362205,Non connu,0.5019685039370079,Non connu,0.5019685039370079,Non connu,0.5019685039370079,18-24,0.3720472440944882,Locataire,0.5866141732283464,0.9881889763779528,0.1062992125984252,0.9251968503937008,0.7381889763779528,0.1062992125984252,0.8759842519685039,0.9547244094488189,0.9212598425196851,0.07677165354330709,0.8523622047244095,0.2283464566929134,0.5610236220472441,0.2736220472440945,0.2047244094488189,0.5059055118110236,0.12401574803149606,869.9486676437008,486313.7364173228
18,Inconnue,0.3983606557377049,Aucun,0.5606557377049181,Primaire,0.4540983606557377,Aucun,0.9131147540983606,Non connu,0.8721311475409836,Non connu,0.8721311475409836,Non connu,0.8721311475409836,0-17,0.8885245901639345,Proprietaire sans titre,0.4639344262295082,0.9868852459016394,0.004918032786885246,0.10819672131147541,0.036065573770491806,0.004918032786885246,0.44754098360655736,0.3262295081967213,0.42950819672131146,0.4540983606557377,0.33114754098360655,0.003278688524590164,0.018032786885245903,0.022950819672131147,0.011475409836065573,0.23934426229508196,0.004918032786885246,121.56393442622951,31683.50478688525
19,Inconnue,0.33810888252148996,Aucun,0.5358166189111748,Primaire,0.4684813753581662,Aucun,0.8796561604584527,Non connu,0.8223495702005731,Non connu,0.8223495702005731,Non connu,0.8223495702005731,0-17,0.9126074498567335,Proprietaire sans titre,0.6260744985673352,0.9899713467048711,0.0014326647564469914,0.10744985673352435,0.03008595988538682,0.0014326647564469914,0.5085959885386819,0.2020057306590258,0.29656160458452724,0.501432664756447,0.2679083094555874,0.012893982808022923,0.027220630372492838,0.0028653295128939827,0.01002865329512894,0.14326647564469913,0.0071633237822349575,38.36527063037249,7382.900616045845
20,Inconnue,0.38271604938271603,Aucun,0.5925925925925926,Aucun,0.4609053497942387,Aucun,0.8827160493827161,Non connu,0.8497942386831275,Non connu,0.8497942386831275,Non connu,0.8497942386831275,0-17,0.8806584362139918,Proprietaire sans titre,0.5925925925925926,1.0,0.018518518518518517,0.13786008230452676,0.0205761316872428,0.018518518518518517,0.4609053497942387,0.14609053497942387,0.17078189300411523,0.668724279835391,0.3065843621399177,0.00823045267489712,0.01440329218106996,0.00823045267489712,0.00823045267489712,0.1728395061728395,0.0,95.67361187242798,22002.240576131688
21,BAOULE,0.2660228270412643,Aucun,0.8419666374012291,Aucun,0.33274802458296754,Aucun,0.5671641791044776,Agriculture,0.5671641791044776,Entreprise Privée,0.7989464442493416,Travailleur Familial contribuant pour une entreprise familial,0.2897278314310799,18-24,0.398595258999122,Proprietaire sans titre,0.4811237928007024,0.9850746268656716,0.02370500438981563,0.9218612818261633,0.3301141352063213,0.02370500438981563,0.6874451273046532,0.48024582967515367,0.5794556628621598,0.2712906057945566,0.3784021071115013,0.021071115013169446,0.07989464442493416,0.010535557506584723,0.015803336259877086,0.228270412642669,0.007901668129938543,954.0146026075505,229489.827190518
22,Inconnue,0.1877076411960133,Aucun,0.9983388704318937,Aucun,0.4169435215946844,Aucun,0.659468438538206,Commerce,0.34551495016611294,Entreprise Privée,0.6046511627906976,Travailleur pour compte propre,0.446843853820598,35-44,0.3687707641196013,Locataire,0.7242524916943521,0.9983388704318937,0.20764119601328904,0.9136212624584718,0.584717607973422,0.20764119601328904,0.6428571428571429,0.9385382059800664,0.9302325581395349,0.0681063122923588,0.8986710963455149,0.18106312292358803,0.5382059800664452,0.23421926910299004,0.1511627906976744,0.5249169435215947,0.12624584717607973,1221.6461239534883,492190.0247009967
23,BAOULE,0.19056261343012704,Aucun,1.0,Aucun,0.6279491833030852,Aucun,0.7912885662431942,Non connu,0.3992740471869328,Entreprise Privée,0.5862068965517241,Travailleur pour compte propre,0.5117967332123412,55-64,0.4500907441016334,Proprietaire titre,0.397459165154265,0.9963702359346642,0.06170598911070781,0.9437386569872959,0.24682395644283123,0.06170598911070781,0.4047186932849365,0.8457350272232305,0.9001814882032668,0.07259528130671507,0.5952813067150635,0.05807622504537205,0.29038112522686027,0.08166969147005444,0.029038112522686024,0.35390199637023595,0.029038112522686024,1075.8824305807623,64793.42504537206
24,Inconnue,0.23715620134924753,Aucun,1.0,Aucun,0.8842760768033212,Aucun,0.9771665801764401,Agriculture,0.6844836533471718,Entreprise Privée,0.8168137000518941,Travailleur Familial contribuant pour une entreprise familial,0.44525168655941877,35-44,0.6901920083030617,Proprietaire sans titre,0.5879605604566684,1.0,0.010378827192527244,0.5324338349766476,0.023871302542812663,0.010378827192527244,0.12350804359107422,0.3720809548521017,0.4353918007265179,0.3829787234042553,0.30150492994291644,0.007265179034769071,0.0508562532433835,0.00467047223663726,0.0010378827192527244,0.16554229372080956,0.002594706798131811,489.0235869247535,20240.181852620655
25,Inconnue,0.3247863247863248,Aucun,0.5863247863247864,Aucun,0.4735042735042735,Aucun,0.9230769230769231,Non connu,0.8923076923076924,Non connu,0.8923076923076924,Non connu,0.8923076923076924,0-17,0.9487179487179487,Proprietaire sans titre,0.6307692307692307,0.9948717948717949,0.006837606837606838,0.06495726495726496,0.006837606837606838,0.006837606837606838,0.4393162393162393,0.18461538461538463,0.2717948717948718,0.5282051282051282,0.24615384615384617,0.013675213675213675,0.041025641025641026,0.008547008547008548,0.010256410256410256,0.15213675213675212,0.005128205128205128,18.39316239316239,2652.059829059829
26,SENOUFO,0.3393782383419689,Aucun,0.6528497409326425,Aucun,0.5984455958549223,Aucun,0.9533678756476683,Non connu,0.8316062176165803,Non connu,0.8316062176165803,Non connu,0.8316062176165803,0-17,0.9740932642487047,Proprietaire sans titre,0.5621761658031088,0.9896373056994818,0.0051813471502590676,0.03626943005181347,0.0051813471502590676,0.0051813471502590676,0.26424870466321243,0.3160621761658031,0.48186528497409326,0.31865284974093266,0.2823834196891192,0.02849740932642487,0.09326424870466321,0.010362694300518135,0.015544041450777202,0.17357512953367876,0.010362694300518135,9.637305699481866,0.0
27,SENOUFO,0.6642066420664207,Aucun,0.7453874538745388,Aucun,0.7195571955719557,Aucun,0.9520295202952029,Non connu,0.933579335793358,Non connu,0.933579335793358,Non connu,0.933579335793358,0-17,0.985239852398524,Proprietaire titre,0.3763837638376384,1.0,0.01107011070110701,0.014760147601476014,0.007380073800738007,0.01107011070110701,0.23985239852398524,0.6494464944649446,0.7527675276752768,0.17712177121771217,0.30996309963099633,0.0,0.05166051660516605,0.0,0.01107011070110701,0.19557195571955718,0.01107011070110701,10.40590405904059,0.0
28,Inconnue,0.35119047619047616,Aucun,0.5625,Aucun,0.4880952380952381,Aucun,0.9166666666666666,Non connu,0.9613095238095238,Non connu,0.9613095238095238,Non connu,0.9613095238095238,0-17,0.9255952380952381,Proprietaire sans titre,0.5863095238095238,0.9910714285714286,0.008928571428571428,0.041666666666666664,0.002976190476190476,0.008928571428571428,0.4583333333333333,0.38392857142857145,0.49107142857142855,0.3869047619047619,0.44345238095238093,0.017857142857142856,0.047619047619047616,0.008928571428571428,0.002976190476190476,0.25892857142857145,0.0,43.11309523809524,6796.693273809524
29,BAOULE,0.3466135458167331,Aucun,0.9960159362549801,Aucun,0.450199203187251,Aucun,0.649402390438247,Commerce,0.28286852589641437,Entreprise Privée,0.7848605577689243,Travailleur pour compte propre,0.4581673306772908,35-44,0.36254980079681276,Locataire,0.7290836653386454,1.0,0.07171314741035857,0.9800796812749004,0.601593625498008,0.07171314741035857,0.6135458167330677,0.8685258964143426,0.9601593625498008,0.03187250996015936,0.8087649402390438,0.11553784860557768,0.33067729083665337,0.09163346613545817,0.11553784860557768,0.5179282868525896,0.01593625498007968,1547.7443315139442,609693.2175697212
30,Inconnue,0.18636363636363637,Aucun,0.5,Primaire,0.35909090909090907,Aucun,0.7272727272727273,Non connu,0.8590909090909091,Non connu,0.8590909090909091,Non connu,0.8590909090909091,0-17,0.7818181818181819,Locataire,0.4,0.9954545454545455,0.03636363636363636,0.20454545454545456,0.1590909090909091,0.03636363636363636,0.65,0.9409090909090909,0.9772727272727273,0.022727272727272728,0.7227272727272728,0.08636363636363636,0.2681818181818182,0.07272727272727272,0.06363636363636363,0.33636363636363636,0.0,234.4988168181818,72746.41704545454
31,Inconnue,0.23985572587917042,Aucun,0.9990982867448152,Aucun,0.7141568981064021,Aucun,0.8917944093778178,Agriculture,0.842200180342651,Entreprise Privée,0.9792605951307484,Travailleur pour compte propre,0.8034265103697025,35-44,0.5347159603246168,Proprietaire sans titre,0.5365193868349865,1.0,0.005410279531109108,0.8764652840396754,0.13525698827772767,0.005410279531109108,0.30928764652840396,0.2993688007213706,0.37240757439134353,0.3678990081154193,0.2073940486925158,0.004508566275924256,0.0369702434625789,0.0036068530207394047,0.0018034265103697023,0.09918845807033363,0.004508566275924256,1826.1247786564472,107921.6454553652
32,Inconnue,0.36796536796536794,Aucun,0.6212121212121212,Aucun,0.4805194805194805,Aucun,0.8961038961038961,Non connu,0.8701298701298701,Non connu,0.8701298701298701,Non connu,0.8701298701298701,0-17,0.8614718614718615,Proprietaire sans titre,0.564935064935065,0.9956709956709957,0.006493506493506494,0.11471861471861472,0.02813852813852814,0.006493506493506494,0.4675324675324675,0.4523809523809524,0.5692640692640693,0.329004329004329,0.44805194805194803,0.012987012987012988,0.049783549783549784,0.004329004329004329,0.0021645021645021645,0.2683982683982684,0.0021645021645021645,130.57486807359308,20591.230800865804
33,SENOUFO,0.14321608040201006,Aucun,1.0,Aucun,0.8894472361809045,Aucun,0.9698492462311558,Non connu,0.6708542713567839,Non connu,0.6708542713567839,Non connu,0.6708542713567839,65+,0.5778894472361809,Proprietaire titre,0.3542713567839196,1.0,0.01256281407035176,0.5577889447236181,0.04271356783919598,0.01256281407035176,0.13316582914572864,0.7512562814070352,0.8618090452261307,0.08040201005025126,0.5251256281407035,0.02763819095477387,0.17336683417085427,0.022613065326633167,0.020100502512562814,0.24623115577889448,0.017587939698492462,572.6532663316583,25208.933266331656
34,Inconnue,0.23275862068965517,Aucun,1.0,Aucun,0.8189655172413793,Aucun,0.9413793103448276,Non connu,0.33275862068965517,Entreprise Privée,0.656896551724138,Travailleur pour compte propre,0.41379310344827586,45-54,0.44310344827586207,Proprietaire titre,0.46206896551724136,0.9982758620689656,0.008620689655172414,0.6741379310344827,0.0896551724137931,0.008620689655172414,0.20862068965517241,0.6862068965517242,0.7706896551724138,0.13620689655172413,0.49137931034482757,0.032758620689655175,0.15172413793103448,0.01206896551724138,0.013793103448275862,0.2655172413793103,0.017241379310344827,813.7328435000001,42101.970137931035
35,SENOUFO,0.34394904458598724,Aucun,0.7006369426751592,Aucun,0.6263269639065817,Aucun,0.921443736730361,Non connu,0.6709129511677282,Non connu,0.6709129511677282,Non connu,0.6709129511677282,0-17,0.9235668789808917,Proprietaire sans titre,0.5435244161358811,0.9893842887473461,0.004246284501061571,0.1040339702760085,0.03184713375796178,0.004246284501061571,0.24416135881104034,0.31422505307855625,0.47558386411889597,0.37791932059447986,0.29723991507430997,0.006369426751592357,0.09766454352441614,0.004246284501061571,0.01910828025477707,0.19532908704883228,0.004246284501061571,44.50106157112526,9881.872611464969
36,BAOULE,0.43824027072758037,Aucun,0.4653130287648054,Aucun,0.3824027072758037,Aucun,0.7648054145516074,Non connu,0.9272419627749577,Non connu,0.9272419627749577,Non connu,0.9272419627749577,0-17,0.9018612521150592,Locataire,0.5752961082910322,0.9932318104906938,0.0338409475465313,0.11844331641285956,0.05414551607445008,0.0338409475465313,0.5956006768189509,0.8358714043993232,0.8984771573604061,0.04230118443316413,0.6209813874788495,0.05245346869712352,0.26057529610829105,0.06598984771573604,0.06937394247038917,0.3993231810490694,0.01015228426395939,84.17428087986464,14967.851099830796
37,Inconnue,0.47244094488188976,Aucun,0.6456692913385826,Aucun,0.5091863517060368,Aucun,0.9028871391076115,Non connu,0.7821522309711286,Non connu,0.7821522309711286,Non connu,0.7821522309711286,0-17,0.868766404199475,Proprietaire titre,0.4199475065616798,1.0,0.0,0.15485564304461943,0.049868766404199474,0.0,0.3674540682414698,0.04461942257217848,0.11286089238845144,0.7847769028871391,0.4330708661417323,0.0,0.010498687664041995,0.010498687664041995,0.005249343832020997,0.2677165354330709,0.02099737532808399,103.3753280839895,13263.71653543307
38,KOULANGO,0.3720316622691293,Aucun,0.6226912928759895,Aucun,0.48548812664907653,Aucun,0.9366754617414248,Non connu,0.8865435356200527,Non connu,0.8865435356200527,Non connu,0.8865435356200527,0-17,0.9050131926121372,Proprietaire sans titre,0.5171503957783641,1.0,0.0079155672823219,0.08443271767810026,0.013192612137203167,0.0079155672823219,0.37730870712401055,0.5277044854881267,0.7018469656992085,0.14511873350923482,0.2796833773087071,0.002638522427440633,0.036939313984168866,0.0,0.0079155672823219,0.11873350923482849,0.0079155672823219,111.16622691292876,3977.2758047493403
39,BAOULE,0.21495327102803738,Aucun,0.5295950155763239,Primaire,0.4517133956386293,Aucun,0.8442367601246106,Non connu,0.8940809968847352,Non connu,0.8940809968847352,Non connu,0.8940809968847352,0-17,0.8878504672897196,Proprietaire titre,0.3644859813084112,1.0,0.028037383177570093,0.1277258566978193,0.04984423676012461,0.028037383177570093,0.5482866043613707,0.4766355140186916,0.6355140186915887,0.2398753894080997,0.37694704049844235,0.021806853582554516,0.056074766355140186,0.009345794392523364,0.0,0.2336448598130841,0.0,98.8380062305296,32258.45308411215
40,Inconnue,0.38317757009345793,Aucun,0.6199376947040498,Aucun,0.5202492211838006,Aucun,0.9283489096573209,Non connu,0.9158878504672897,Non connu,0.9158878504672897,Non connu,0.9158878504672897,0-17,0.9345794392523364,Proprietaire titre,0.38006230529595014,0.9937694704049844,0.018691588785046728,0.0778816199376947,0.009345794392523364,0.018691588785046728,0.40498442367601245,0.11838006230529595,0.14641744548286603,0.7009345794392523,0.3894080996884735,0.012461059190031152,0.07165109034267912,0.021806853582554516,0.01557632398753894,0.2897196261682243,0.0,43.37694704049844,11845.254423676011
41,SENOUFO,0.47577092511013214,Aucun,0.6916299559471366,Aucun,0.6519823788546255,Aucun,0.947136563876652,Non connu,0.9008810572687225,Non connu,0.9008810572687225,Non connu,0.9008810572687225,0-17,0.9757709251101322,Proprietaire sans titre,0.4845814977973568,0.9559471365638766,0.01762114537444934,0.024229074889867842,0.0,0.01762114537444934,0.2488986784140969,0.2753303964757709,0.2687224669603524,0.5859030837004405,0.2290748898678414,0.006607929515418502,0.028634361233480177,0.0,0.0,0.09911894273127753,0.004405286343612335,14.008810572687224,5886.153568281938
42,BAOULE,0.7613636363636364,Aucun,0.4318181818181818,Primaire,0.4431818181818182,Aucun,0.7840909090909091,Non connu,0.9431818181818182,Non connu,0.9431818181818182,Non connu,0.9431818181818182,0-17,0.8863636363636364,Proprietaire titre,0.3181818181818182,1.0,0.011363636363636364,0.17045454545454544,0.11363636363636363,0.011363636363636364,0.6136363636363636,0.5340909090909091,0.6590909090909091,0.2159090909090909,0.375,0.011363636363636364,0.22727272727272727,0.0,0.011363636363636364,0.375,0.022727272727272728,93.43181818181819,10803.15909090909
43,Inconnue,0.42105263157894735,Aucun,0.6368421052631579,Aucun,0.5526315789473685,Aucun,0.9421052631578948,Non connu,0.9456140350877194,Non connu,0.9456140350877194,Non connu,0.9456140350877194,0-17,0.9421052631578948,Proprietaire sans titre,0.4789473684210526,0.9824561403508771,0.012280701754385965,0.04736842105263158,0.008771929824561403,0.012280701754385965,0.36140350877192984,0.3298245614035088,0.43508771929824563,0.4473684210526316,0.3280701754385965,0.008771929824561403,0.0456140350877193,0.017543859649122806,0.0035087719298245615,0.22456140350877193,0.012280701754385965,37.636866140350875,7944.227087719298
44,BAOULE,0.9615384615384616,Aucun,0.47435897435897434,Primaire,0.5299145299145299,Aucun,0.9230769230769231,Non connu,0.8846153846153846,Non connu,0.8846153846153846,Non connu,0.8846153846153846,0-17,0.905982905982906,Autre,0.4700854700854701,0.9529914529914529,0.004273504273504274,0.0641025641025641,0.004273504273504274,0.004273504273504274,0.5555555555555556,0.41452991452991456,0.44871794871794873,0.18803418803418803,0.19658119658119658,0.0,0.05128205128205128,0.0,0.0,0.11538461538461539,0.0,49.60683760683761,0.0
45,GOURO,0.4407894736842105,Aucun,0.5197368421052632,Primaire,0.4780701754385965,Aucun,0.9035087719298246,Non connu,0.8793859649122807,Non connu,0.8793859649122807,Non connu,0.8793859649122807,0-17,0.9298245614035088,Proprietaire sans titre,0.6293859649122807,0.9956140350877193,0.0043859649122807015,0.08552631578947369,0.02412280701754386,0.0043859649122807015,0.45394736842105265,0.5416666666666666,0.5745614035087719,0.2631578947368421,0.3399122807017544,0.0021929824561403508,0.05701754385964912,0.0,0.008771929824561403,0.17982456140350878,0.0,46.40350877192982,12148.373903508771
