cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise,Cluster_Assigné
56,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,7,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,37,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,18,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,45,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,13,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,63,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,29,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,16,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,13,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,50,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,47,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,14,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,42,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,25,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,46,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,30,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,13,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,24,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,10,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,11,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,26,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,29,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
22,47,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,14,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,55,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,16,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,29,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,32,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,16,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,5,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,30,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,51,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
12,7,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,46,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,5,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,52,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
12,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,48,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,10,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,23,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,6,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,0,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,34,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,18,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,4,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,23,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
23,52,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,28,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,23,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,11,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,24,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,23,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,36,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,41,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,4,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,34,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,51,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,46,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
23,75,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,45,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
11,82,Masculin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,24,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,23,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,5,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,40,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
17,58,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,57,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
23,75,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,36,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,1,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
33,70,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,7
12,4,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
33,67,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,7
22,25,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,30,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
12,4,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
23,75,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,31,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,44,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,22,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
23,53,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,33,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,14,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,27,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,6,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,33,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,17,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,47,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,4,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,19,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,21,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,37,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,8,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,29,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,11,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,33,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,41,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
22,42,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
33,59,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,7
94,18,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
23,68,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,10,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,58,Masculin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,55,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
22,52,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,32,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,58,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,36,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
94,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
33,54,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
12,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
23,81,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
33,52,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
94,26,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,20,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,46,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,31,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,43,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,10,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,51,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
12,11,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,35,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,59,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,29,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,53,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,1,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,65,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
23,58,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
12,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
12,30,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,80
1,1,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
94,31,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,49,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
23,58,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,38,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,27,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,26,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,40,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,8,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,53,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,18,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
33,71,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,7
1,2,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,42,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,31,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
23,59,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,41,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,10,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,18,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,13,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,0,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
17,44,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
33,61,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,7
17,27,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
94,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,8,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,44,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,40,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,25,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
56,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,59,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
94,25,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,53,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
17,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
17,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
12,16,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
12,12,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,57,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,59
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,42,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,4,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
56,40,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,71
22,35,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,10
