cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise,age_group,predicted_cluster
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
1,14,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
56,42,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
94,25,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,46,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
56,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
17,30,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
1,13,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
94,24,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
1,10,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
12,11,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
17,26,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
1,29,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,94
22,47,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
1,14,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
56,55,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,11
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
17,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
1,16,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,1
94,29,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
94,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
56,32,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,11
12,16,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
12,5,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
12,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
22,30,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,22
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,51,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
12,7,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,46,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
94,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
17,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
1,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,1
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
1,5,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
56,52,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
12,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
22,48,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
12,10,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
17,23,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,6,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
12,0,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,,12
22,34,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,22
94,18,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,4,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
17,23,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
23,52,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,23
94,28,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
94,23,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
12,11,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
94,24,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
17,23,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,36,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
17,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
56,41,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
1,4,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
94,34,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
94,51,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,1
94,46,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,45-54,1
23,75,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,75-84,33
94,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
94,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
17,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
22,45,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
11,82,Masculin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,75-84,33
17,24,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
22,23,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,5,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,40,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,35-44,56
17,58,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,12
17,57,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,12
23,75,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,75-84,33
94,36,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,1
17,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
94,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
17,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
1,1,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
33,70,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,65-74,23
12,4,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
33,67,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,65-74,23
22,25,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,22
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
56,30,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,11
12,4,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
23,75,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,75-84,33
17,31,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,44,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
12,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
12,22,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
23,53,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,23
94,33,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
1,14,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
94,27,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
12,6,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,33,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,22
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
1,17,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,1
56,47,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
12,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
1,4,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
94,19,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
94,21,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
12,15,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
56,37,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
12,3,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
1,8,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
22,29,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,22
1,11,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,33,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,22
1,6,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
56,41,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
17,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
56,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
22,42,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,35-44,22
33,59,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,55-64,23
94,18,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
23,68,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,65-74,23
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
1,10,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
94,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,1
56,58,Masculin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,11
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
17,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,55,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,11
22,52,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
17,32,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
56,58,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,11
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
22,36,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,94
94,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
33,54,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,45-54,23
12,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,17
23,81,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,75-84,33
33,52,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,45-54,23
94,26,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
17,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
1,20,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,1
56,46,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
17,31,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
17,43,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,12
1,10,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
94,51,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,1
12,11,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
22,35,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
22,59,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,23
1,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,1
94,29,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
22,53,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,22
1,1,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
17,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
56,65,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,65-74,11
23,58,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,23
12,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,17
12,30,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,25-34,17
1,1,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
94,31,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,56
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
17,49,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,12
17,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
23,58,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,23
17,38,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,12
17,27,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
17,26,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
94,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
17,40,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,12
1,8,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
17,53,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,45-54,12
1,18,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,1
33,71,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,65-74,23
1,2,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
56,42,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,22
17,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,15-24,12
17,31,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
23,59,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,55-64,12
94,41,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,1
12,10,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,12
12,18,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,15-24,12
1,13,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
1,0,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,,1
17,44,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,12
33,61,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,55-64,23
17,27,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,17
94,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,25-34,94
1,8,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0,0-14,1
56,44,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1,35-44,56
