region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance,categorie_revenus,niveau_bancaire,statut_logement,niveau_emploi,niveau_assurance,score_bancaire_optimise,categorie_risque_bancaire,recommandation_credit
AGNEBY-TIASSA,Féminin,Marié(e),15-24,24.0,0.0,0.29166665124999996,0.0,0.29166666166666666,0.2083333291666667,0.249999995,0.249999995,0.0,Sans_revenus,Partiellement_bancarise,Proprietaire_titre,Informel,Non_assure,22,Risque_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Marié(e),25-34,71.0,8099.825774647888,0.4788732692957746,0.014084506690140846,0.2535211329577465,0.1690140894366197,0.2253521161971831,0.35211268225352116,0.028169014295774647,Revenus_faibles,Partiellement_bancarise,Autre_logement,Mixte,Faiblement_assure,33,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Marié(e),35-44,81.0,7466.9706962962955,0.5061728381481482,0.0,0.35802469296296296,0.35802469703703704,0.1358024642222222,0.1481481537037037,0.11111111237037039,Revenus_faibles,Bancarise,Proprietaire_sans_titre,Informel,Assure,48,Risque_Moyen,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Marié(e),45-54,62.0,6969.128948387098,0.3548387035483871,0.016129032677419355,0.38709678419354837,0.4032258006451613,0.09677419161290322,0.1129032235483871,0.03225806535483871,Revenus_faibles,Partiellement_bancarise,Proprietaire_sans_titre,Mixte,Faiblement_assure,38,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Marié(e),55-64,29.0,5318.88248275862,0.2758620765517242,0.0,0.6206896551724138,0.3793103500000001,0.0,0.0,0.03448275896551724,Revenus_faibles,Partiellement_bancarise,Proprietaire_titre,Informel,Faiblement_assure,33,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Marié(e),65+,6.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,Sans_revenus,Partiellement_bancarise,Proprietaire_titre,Informel,Non_assure,19,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Séparé,25-34,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Non_assure,37,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Séparé,35-44,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sans_revenus,Non_bancarise,Proprietaire_titre,Informel,Non_assure,12,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Séparé,45-54,3.0,0.0,0.66666669,0.0,0.33333334,0.66666669,0.0,0.0,0.0,Sans_revenus,Bancarise,Proprietaire_sans_titre,Informel,Non_assure,35,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Séparé,55-64,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Non_assure,35,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Union libre,15-24,2.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,Sans_revenus,Bancarise,Proprietaire_sans_titre,Informel,Non_assure,33,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Union libre,25-34,8.0,5000.0,0.25,0.0,0.375,0.125,0.125,0.375,0.0,Revenus_faibles,Partiellement_bancarise,Proprietaire_titre,Informel,Non_assure,34,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Union libre,35-44,8.0,0.0,0.375,0.0,0.25,0.25,0.125,0.375,0.125,Sans_revenus,Partiellement_bancarise,Autre_logement,Informel,Assure,20,Risque_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Union libre,45-54,6.0,0.0,0.0,0.0,0.33333334,0.16666667,0.33333334,0.16666667,0.0,Sans_revenus,Non_bancarise,Proprietaire_titre,Informel,Non_assure,12,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Union libre,55-64,2.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Non_assure,35,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Veuf(ve),25-34,2.0,20000.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,Revenus_moyens,Bancarise,Proprietaire_sans_titre,Informel,Non_assure,60,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Féminin,Veuf(ve),35-44,4.0,0.0,0.5,0.0,0.25,0.5,0.0,0.25,0.0,Sans_revenus,Bancarise,Proprietaire_sans_titre,Informel,Non_assure,35,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Féminin,Veuf(ve),45-54,3.0,0.0,0.0,0.0,0.33333334,0.33333334,0.0,0.33333334,0.0,Sans_revenus,Non_bancarise,Proprietaire_titre,Informel,Non_assure,12,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Veuf(ve),55-64,24.0,0.0,0.375,0.0,0.33333334,0.375,0.083333336,0.20833333,0.041666668,Sans_revenus,Partiellement_bancarise,Proprietaire_sans_titre,Informel,Faiblement_assure,21,Risque_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Féminin,Veuf(ve),65+,31.0,0.0,0.32258064,0.0,0.41935483,0.3548387,0.064516127,0.16129032,0.032258064,Sans_revenus,Partiellement_bancarise,Proprietaire_titre,Informel,Faiblement_assure,20,Risque_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Masculin,Célibataire,0-14,409.0,627.54688,0.0,0.0,0.33496332,0.28606358,0.14669926,0.23227383,0.041564792,Revenus_faibles,Non_bancarise,Proprietaire_titre,Informel,Faiblement_assure,18,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Masculin,Célibataire,15-24,108.0,7251.3608,0.30555555,0.0,0.42592594,0.33333334,0.12962963,0.11111111000000001,0.046296295,Revenus_faibles,Partiellement_bancarise,Proprietaire_titre,Informel,Faiblement_assure,33,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Célibataire,25-34,45.0,42098.949,0.66666669,0.0,0.26666668,0.31111112,0.15555556,0.26666668,0.022222223,Revenus_moyens,Bancarise,Proprietaire_sans_titre,Informel,Faiblement_assure,61,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Célibataire,35-44,24.0,47110.164,0.70833331,0.041666668,0.16666667,0.33333334,0.20833333,0.29166666,0.0,Revenus_moyens,Bancarise,Proprietaire_sans_titre,Mixte,Non_assure,65,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Célibataire,45-54,14.0,16583.334,0.64285713,0.0,0.35714287,0.14285715,0.21428572000000004,0.2857143,0.0,Revenus_moyens,Bancarise,Proprietaire_titre,Informel,Non_assure,62,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Célibataire,55-64,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Sans_revenus,Bancarise,Locataire,Informel,Non_assure,30,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Marié(e),15-24,2.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,Sans_revenus,Bancarise,Locataire,Informel,Non_assure,30,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Marié(e),25-34,42.0,36198.258,0.85714287,0.0,0.26190478,0.14285715,0.2857143,0.30952382,0.047619049,Revenus_moyens,Bancarise,Autre_logement,Informel,Faiblement_assure,56,Risque_Moyen,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Marié(e),35-44,80.0,32605.301249999997,0.887499988125,0.025000000312500003,0.24999999125,0.23750000375,0.1875,0.32500000625,0.087500000625,Revenus_moyens,Bancarise,Autre_logement,Mixte,Faiblement_assure,61,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Marié(e),45-54,61.0,45717.278655737704,0.8196721278688526,0.0491803282295082,0.3278688455737705,0.36065574590163935,0.1639344255737705,0.1475409829508197,0.13114754426229508,Revenus_moyens,Bancarise,Proprietaire_sans_titre,Mixte,Assure,68,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Marié(e),55-64,41.0,11332.780629268294,0.6585365834146342,0.0,0.41463415853658536,0.41463415,0.09756097658536585,0.07317073326829268,0.07317073341463413,Revenus_moyens,Bancarise,Proprietaire_titre,Informel,Faiblement_assure,61,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Marié(e),65+,29.0,3517.2413379310346,0.5517241289655173,0.0,0.551724121724138,0.34482758689655174,0.034482759517241376,0.0689655182413793,0.0689655182413793,Revenus_faibles,Bancarise,Proprietaire_titre,Informel,Faiblement_assure,43,Risque_Moyen,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Séparé,55-64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sans_revenus,Non_bancarise,Proprietaire_titre,Informel,Non_assure,10,Risque_Tres_Eleve,REFUS_Recommande
AGNEBY-TIASSA,Masculin,Union libre,25-34,6.0,68888.891,0.33333334,0.0,0.16666667,0.33333334,0.16666667,0.33333334,0.0,Revenus_eleves,Partiellement_bancarise,Proprietaire_sans_titre,Informel,Non_assure,62,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Union libre,35-44,8.0,73541.672,0.375,0.0,0.375,0.125,0.125,0.375,0.25,Revenus_eleves,Partiellement_bancarise,Proprietaire_titre,Informel,Assure,67,Risque_Faible,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Union libre,45-54,8.0,36176.02,0.375,0.0,0.25,0.25,0.25,0.25,0.0,Revenus_moyens,Partiellement_bancarise,Proprietaire_titre,Informel,Non_assure,49,Risque_Moyen,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Union libre,55-64,2.0,22500.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,Revenus_moyens,Non_bancarise,Proprietaire_titre,Informel,Non_assure,35,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Union libre,65+,2.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Non_assure,32,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Veuf(ve),25-34,2.0,25000.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,Revenus_moyens,Bancarise,Locataire,Informel,Non_assure,57,Risque_Moyen,ACCORD_Conditionnel
AGNEBY-TIASSA,Masculin,Veuf(ve),35-44,1.0,63702.484,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Revenus_eleves,Bancarise,Locataire,Informel,Non_assure,72,Risque_Faible,ACCORD_Recommande
AGNEBY-TIASSA,Masculin,Veuf(ve),45-54,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Sans_revenus,Bancarise,Autre_logement,Informel,Non_assure,30,Risque_Eleve,ETUDE_Approfondie
AGNEBY-TIASSA,Masculin,Veuf(ve),55-64,2.0,50000.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,Revenus_eleves,Bancarise,Proprietaire_titre,Informel,Non_assure,75,Risque_Faible,ACCORD_Recommande
AGNEBY-TIASSA,Masculin,Veuf(ve),65+,3.0,0.0,0.66666669,0.0,0.33333334,0.33333334,0.0,0.33333334,0.0,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Non_assure,32,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Célibataire,0-14,748.0,283.88037,0.0,0.0,0.157754,0.036096256,0.68181819,0.12299465,0.14705883,Revenus_faibles,Non_bancarise,Locataire,Informel,Assure,15,Risque_Tres_Eleve,REFUS_Recommande
AUTONOME D'ABIDJAN,Féminin,Célibataire,15-24,465.0,7616.7314,0.51397848,0.0,0.26451612,0.034408603,0.59354836,0.10752688,0.11612903,Revenus_faibles,Bancarise,Locataire,Informel,Assure,43,Risque_Moyen,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Célibataire,25-34,187.0,52218.625,0.7647059,0.037433155,0.27807486,0.01604278,0.60427809,0.10160428,0.05882353,Revenus_eleves,Bancarise,Locataire,Mixte,Faiblement_assure,78,Risque_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Féminin,Célibataire,35-44,78.0,58280.831999999995,0.78205127,0.025641026,0.25641027,0.025641026,0.61538464,0.1025641,0.1025641,Revenus_eleves,Bancarise,Locataire,Mixte,Assure,80,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Féminin,Célibataire,45-54,40.0,46847.086,0.77499998,0.0,0.40000001,0.050000001,0.52499998,0.025,0.1,Revenus_moyens,Bancarise,Locataire,Informel,Assure,60,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Célibataire,55-64,15.0,0.0,0.60000002,0.0,0.40000001,0.2,0.26666668,0.13333334,0.0,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Non_assure,35,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Célibataire,65+,8.0,0.0,0.75,0.0,0.5,0.0,0.5,0.0,0.125,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Assure,35,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),25-34,2.0,50083.336,1.0,0.0,0.0,0.0,0.5,0.5,0.0,Revenus_eleves,Bancarise,Locataire,Informel,Non_assure,72,Risque_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),35-44,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sans_revenus,Non_bancarise,Locataire,Informel,Non_assure,7,Risque_Tres_Eleve,REFUS_Recommande
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),45-54,5.0,0.0,0.60000002,0.0,0.2,0.0,0.80000001,0.0,0.0,Sans_revenus,Bancarise,Locataire,Informel,Non_assure,32,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),55-64,7.0,228571.28,0.5714286,0.14285715,0.42857143,0.14285715,0.42857143,0.0,0.2857143,Revenus_tres_eleves,Bancarise,Proprietaire_titre,Mixte,Assure,93,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),65+,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Assure,35,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Marié(e),15-24,27.0,3827.160648148148,0.6296296203703704,0.037037036111111116,0.037037036111111116,0.0,0.9629629444444444,0.0,0.037037036111111116,Revenus_faibles,Bancarise,Locataire,Mixte,Faiblement_assure,46,Risque_Moyen,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Marié(e),25-34,158.0,26230.04450632911,0.7025316207594937,0.025316456202531642,0.11392405291139239,0.012658228101265821,0.7848101250632912,0.08860759622784811,0.15822784405063292,Revenus_moyens,Bancarise,Locataire,Mixte,Assure,65,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Marié(e),35-44,202.0,41049.18078712871,0.7475247662376239,0.049504949643564354,0.09900990303465346,0.019801980044554458,0.7425742577722773,0.13366336910891088,0.24257425905940594,Revenus_moyens,Bancarise,Locataire,Mixte,Assure,65,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Marié(e),45-54,116.0,57640.44551724139,0.7068965258620691,0.05172413820689655,0.22413792413793104,0.034482759034482766,0.620689664137931,0.12068965544827585,0.21551723620689656,Revenus_eleves,Bancarise,Locataire,Mixte,Assure,80,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Féminin,Marié(e),55-64,54.0,43934.6495,0.7407407288888889,0.018518518277777778,0.5370370253703703,0.05555555574074074,0.3888889022222222,0.018518518518518517,0.2592592722222222,Revenus_moyens,Bancarise,Proprietaire_titre,Mixte,Assure,68,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Marié(e),65+,13.0,0.0,0.4615384769230769,0.0,0.6923077076923077,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.23076923846153846,Sans_revenus,Partiellement_bancarise,Proprietaire_titre,Informel,Assure,22,Risque_Eleve,REFUS_Recommande
AUTONOME D'ABIDJAN,Féminin,Séparé,25-34,3.0,426667.0,0.66666669,0.0,0.0,0.0,1.0,0.0,0.33333334,Revenus_tres_eleves,Bancarise,Locataire,Informel,Assure,85,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Féminin,Séparé,35-44,5.0,65000.0,1.0,0.0,0.0,0.0,0.80000001,0.2,0.2,Revenus_eleves,Bancarise,Locataire,Informel,Assure,75,Risque_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Féminin,Séparé,45-54,8.0,52238.125,0.375,0.125,0.125,0.0,0.625,0.25,0.125,Revenus_eleves,Partiellement_bancarise,Locataire,Mixte,Assure,67,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Séparé,55-64,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,Sans_revenus,Non_bancarise,Locataire,Informel,Assure,8,Risque_Tres_Eleve,REFUS_Recommande
AUTONOME D'ABIDJAN,Féminin,Séparé,65+,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Sans_revenus,Non_bancarise,Locataire,Informel,Non_assure,2,Risque_Tres_Eleve,REFUS_Recommande
AUTONOME D'ABIDJAN,Féminin,Union libre,15-24,5.0,20000.0,1.0,0.0,0.2,0.2,0.40000001,0.2,0.2,Revenus_moyens,Bancarise,Locataire,Informel,Assure,58,Risque_Moyen,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Union libre,25-34,32.0,41829.402,0.90625,0.03125,0.1875,0.03125,0.71875,0.0625,0.09375,Revenus_moyens,Bancarise,Locataire,Mixte,Faiblement_assure,63,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Union libre,35-44,30.0,19291.172,0.56666666,0.0,0.033333335,0.033333335,0.86666667,0.06666667,0.13333334,Revenus_moyens,Bancarise,Locataire,Informel,Assure,60,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Union libre,45-54,9.0,35592.594,0.44444445,0.0,0.22222222,0.0,0.66666669,0.11111111,0.11111111,Revenus_moyens,Partiellement_bancarise,Locataire,Informel,Assure,47,Risque_Moyen,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Union libre,55-64,2.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,Sans_revenus,Bancarise,Proprietaire_titre,Informel,Assure,38,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Union libre,65+,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sans_revenus,Non_bancarise,Proprietaire_titre,Informel,Non_assure,7,Risque_Tres_Eleve,REFUS_Recommande
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),35-44,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,Sans_revenus,Bancarise,Proprietaire_sans_titre,Informel,Non_assure,35,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),45-54,26.0,8271.9443,0.8076922900000001,0.03846154,0.38461539000000006,0.03846154,0.38461539000000006,0.1923077,0.07692308,Revenus_faibles,Bancarise,Proprietaire_titre,Mixte,Faiblement_assure,53,Risque_Moyen,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),55-64,50.0,0.0,0.63999999,0.0,0.38,0.02,0.54000002,0.059999999,0.12,Sans_revenus,Bancarise,Locataire,Informel,Assure,33,Risque_Eleve,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),65+,34.0,1911.7646,0.67647058,0.0,0.55882353,0.029411765,0.2647059,0.14705883,0.17647059,Revenus_faibles,Bancarise,Proprietaire_titre,Informel,Assure,45,Risque_Moyen,ETUDE_Approfondie
AUTONOME D'ABIDJAN,Masculin,Célibataire,0-14,727.0,0.0,0.0,0.0,0.14855571,0.024759285,0.7152682499999999,0.10866575,0.16093536,Sans_revenus,Non_bancarise,Locataire,Informel,Assure,5,Risque_Tres_Eleve,REFUS_Recommande
AUTONOME D'ABIDJAN,Masculin,Célibataire,15-24,433.0,12560.843,0.5404157,0.0023094688,0.24249423,0.032332562,0.63741338,0.087759815,0.087759815,Revenus_moyens,Bancarise,Locataire,Mixte,Faiblement_assure,61,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Masculin,Célibataire,25-34,241.0,63575.434,0.74688798,0.024896266,0.23651452,0.0373444,0.61410791,0.1120332,0.053941909,Revenus_eleves,Bancarise,Locataire,Mixte,Faiblement_assure,78,Risque_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Célibataire,35-44,86.0,76165.32,0.88372093,0.023255814,0.3255814,0.023255814,0.46511629,0.18604651,0.034883723,Revenus_eleves,Bancarise,Locataire,Mixte,Faiblement_assure,78,Risque_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Célibataire,45-54,26.0,78760.891,0.8076922900000001,0.03846154,0.30769232,0.03846154,0.5,0.15384616,0.15384616,Revenus_eleves,Bancarise,Locataire,Mixte,Assure,80,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Célibataire,55-64,7.0,358768.19,0.71428573,0.0,0.14285715,0.14285715,0.71428573,0.0,0.2857143,Revenus_tres_eleves,Bancarise,Locataire,Informel,Assure,83,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Marié(e),15-24,2.0,150000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Revenus_tres_eleves,Bancarise,Locataire,Informel,Non_assure,80,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Marié(e),25-34,60.0,99602.207,0.9166666864999999,0.0499999984,0.0499999984,0.016666667116666666,0.8500000225,0.08333333558333332,0.19999998966666668,Revenus_eleves,Bancarise,Locataire,Mixte,Assure,80,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Marié(e),35-44,161.0,159419.0807453416,0.8944099478260868,0.11180124223602485,0.09937888198757763,0.006211180223602485,0.8198757962732918,0.07453416447204968,0.2422360347826087,Revenus_tres_eleves,Bancarise,Locataire,Mixte,Assure,90,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Marié(e),45-54,168.0,128259.94611904761,0.910714310654762,0.11309523686904763,0.09523809705357143,0.029761904958333335,0.7619047725595238,0.10714286222619047,0.27976190797619044,Revenus_tres_eleves,Bancarise,Locataire,Mixte,Assure,90,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Marié(e),55-64,99.0,137975.84103030304,0.8686868606060605,0.1111111096969697,0.29292928333333335,0.04040404069696969,0.5858585672727272,0.08080808045454545,0.19191918545454542,Revenus_tres_eleves,Bancarise,Locataire,Mixte,Assure,88,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Marié(e),65+,49.0,20737.172489795917,0.8367346891836733,0.02040816351020408,0.6122448712244898,0.061224491428571434,0.24489796571428574,0.08163265469387757,0.18367346530612244,Revenus_moyens,Bancarise,Proprietaire_titre,Mixte,Assure,65,Risque_Faible,ACCORD_Conditionnel
AUTONOME D'ABIDJAN,Masculin,Séparé,35-44,3.0,69502.023,1.0,0.0,0.0,0.33333334,0.66666669,0.0,0.0,Revenus_eleves,Bancarise,Locataire,Informel,Non_assure,72,Risque_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Séparé,45-54,3.0,136666.67,0.66666669,0.33333334,0.0,0.0,0.66666669,0.33333334,0.33333334,Revenus_tres_eleves,Bancarise,Locataire,Mixte,Assure,90,Risque_Tres_Faible,ACCORD_Recommande
AUTONOME D'ABIDJAN,Masculin,Séparé,55-64,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sans_revenus,Non_bancarise,Locataire,Informel,Non_assure,5,Risque_Tres_Eleve,REFUS_Recommande
